MgC_per_ha,elevation,landcover,ndvi,precip
-11.603731781250003,1963,30,0.3177652955055237,55.41666666666666
-29.135201781250004,1804,30,0.2487904876470565,47.44444444444444
-33.040545531250004,1846,30,0.180530771613121,44.19444444444444
-34.22025178125,1865,30,0.268557071685791,43.638888888888886
27.94766071875,1691,30,0.2521936893463135,69.83333333333333
-4.498755531249998,1630,30,0.2508784234523773,69.83333333333333
-3.646864281250004,1669,30,0.242287129163742,65.63888888888889
2.355803218749997,2022,30,0.3820633292198181,48.02777777777778
-23.34897178125,1670,30,0.2464888542890548,61.69444444444444
42.97528571875,1776,30,0.3165108561515808,65.11111111111111
19.80414196875,1719,30,0.2800586521625519,70.72222222222223
-48.84699678125,1914,30,0.2076090574264526,46.02777777777778
-30.030331781250005,1926,30,0.3222520053386688,45.22222222222222
-0.0365205312500052,1902,30,0.423370748758316,49.44444444444444
-4.832339281250015,2078,30,0.4432172775268554,55.30555555555556
12.399353218749994,2025,30,0.414768636226654,55.41666666666666
3.097226968749993,1783,30,0.3299120366573334,82.83333333333333
-9.83425928125,1727,30,0.2528593838214874,71.22222222222223
11.537181968750003,1704,30,0.2566348910331726,75.02777777777777
7.788773218749995,1743,30,0.2795698940753937,65.11111111111111
-5.917496781249994,1735,30,0.2717404961585998,82.83333333333333
5.368320718749999,1723,30,0.3043935298919678,82.83333333333333
-25.15734803125,1725,30,0.2386262267827987,82.83333333333333
-6.3617905312500085,1705,30,0.270438015460968,89.25
-23.74726428125,1776,30,0.3436174094676971,89.25
-4.698341781250008,1697,30,0.2912115156650543,89.25
2.9146607187499995,1783,30,0.3129184544086456,89.25
-13.680281781250002,1700,30,0.2697800993919372,81.97222222222223
41.220978218750005,1675,20,0.3774088025093078,81.97222222222223
26.42498946875,1718,30,0.2473763078451156,65.11111111111111
3.707703218749998,1686,30,0.2764040827751159,81.97222222222223
-2.567549281249996,1801,30,0.3789701461791992,89.25
-28.623657406250004,1916,30,0.1541453152894973,45.91666666666666
-47.03150678125,1912,30,0.2768744528293609,43.638888888888886
8.222288218749995,1936,30,0.5228261351585388,70.36111111111111
-18.71644803125001,1612,30,0.2883259654045105,82.22222222222223
-3.599136781249996,1720,10,0.5920523405075073,82.83333333333333
-40.71943615625,1916,30,0.1541453152894973,45.91666666666666
1.108193218750003,1987,30,0.3159722685813904,51.583333333333336
59.80924321875,1970,30,0.3431663811206817,49.44444444444444
-10.903409281250006,1809,20,0.4613698720932007,82.83333333333333
67.70819446875001,1719,20,0.5138789415359497,82.83333333333333
4.835706968750003,1777,20,0.2815061807632446,65.11111111111111
2.553128218750004,1767,30,0.3449804484844208,65.11111111111111
1.60043821875,1773,30,0.3096974194049835,65.11111111111111
22.11464696875001,1766,30,0.2867828011512756,75.52777777777777
0.2405294687499974,1696,30,0.2450000047683715,76.27777777777777
2.0648844687499945,1780,30,0.3144905567169189,82.83333333333333
-5.638550531250004,1935,30,0.3582966923713684,49.44444444444444
1.1738357187499844,1762,30,0.2876273691654205,65.11111111111111
-1.1753655312500086,1959,30,0.3318444788455963,51.583333333333336
4.859623218749988,1908,30,0.3153724372386932,45.22222222222222
-18.818506781250008,1849,30,0.3059656918048858,46.02777777777778
-6.203941781249995,1838,30,0.2339007705450058,47.44444444444444
26.99989821874999,1726,20,0.3413678109645843,82.83333333333333
6.469838218749999,1843,30,0.3169767558574676,75.52777777777777
18.825405718750005,1779,20,0.4732322692871094,82.83333333333333
2.3838594687500034,1720,30,0.2568093240261078,65.11111111111111
24.05168321875,1737,30,0.2705749571323395,65.11111111111111
9.842418218749998,1754,30,0.3078022003173828,65.11111111111111
-28.32686303125,1700,30,0.3059313297271728,81.97222222222223
27.38120821874999,1669,30,0.2068696320056915,70.72222222222223
31.33210946874999,1605,30,0.2593711018562317,65.63888888888889
-8.652068031249996,1601,30,0.2470085769891739,75.02777777777777
22.15798946874999,1548,30,0.2760652005672455,75.02777777777777
29.029216968749992,1879,20,0.459078848361969,49.44444444444444
47.58807946875,1971,30,0.4405077695846557,52.138888888888886
6.197061968749992,2094,30,0.5044532418251038,55.30555555555556
5.612725718749999,1652,30,0.2412804514169693,61.69444444444444
0.4473132187499971,1675,30,0.2550938725471496,61.69444444444444
-1.5051180312499923,1922,30,0.2894977033138275,52.138888888888886
-3.120121781250006,1677,30,0.2238857895135879,65.63888888888889
5.986535718749991,1603,30,0.2558635473251343,65.63888888888889
15.864140718750008,1716,30,0.2489949017763137,76.27777777777777
-29.57380553125,1990,30,0.3521126806735992,51.583333333333336
-7.922446781250002,2000,30,0.3486745655536651,46.36111111111112
-4.026391781249998,1876,30,0.4172141551971435,55.41666666666666
-31.914949281250003,1855,30,0.1982940137386322,44.19444444444444
-26.947031781250004,1806,30,0.3407750129699707,44.19444444444444
-25.378678031250004,1890,30,0.3235264122486114,46.02777777777778
